PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,SmallFamily,LargeFamily,HasCabin,TicketPrefix,HasTicketPrefix,FarePerPerson,IsChild,IsAdult,IsElderly,NameLength,AgeGroup,FareBin,FarePerPersonBin,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown,Survived
17,3,1,2.0,4,1,29.125,6,0,0,1,0,None,0,4.854166666666667,1,0,0,20,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,2,1,29.5,0,0,13.0,1,1,0,0,0,None,0,13.0,0,1,0,28,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
19,3,0,31.0,1,0,18.0,2,0,1,0,0,None,0,9.0,0,1,0,55,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
20,3,0,22.0,0,0,7.225,1,1,0,0,0,None,0,7.225,0,1,0,23,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
21,2,1,35.0,0,0,26.0,1,1,0,0,0,None,0,26.0,0,1,0,20,2,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
22,2,1,34.0,0,0,13.0,1,1,0,0,1,None,0,13.0,0,1,0,21,2,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
23,3,0,15.0,0,0,8.0292,1,1,0,0,0,None,0,8.0292,1,0,0,27,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
24,1,1,28.0,0,0,35.5,1,1,0,0,1,None,0,35.5,0,1,0,28,2,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
25,3,0,8.0,3,1,21.075,5,0,0,1,0,None,0,4.215,1,0,0,29,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
26,3,0,38.0,1,5,31.3875,7,0,0,1,0,None,0,4.483928571428572,0,1,0,57,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
27,3,1,25.0,0,0,7.225,1,1,0,0,0,None,0,7.225,0,1,0,23,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28,1,1,19.0,3,2,263.0,6,0,0,1,1,None,0,43.833333333333336,0,1,0,30,2,4,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
29,3,0,22.0,0,0,7.8792,1,1,0,0,0,None,0,7.8792,0,1,0,29,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
30,3,1,25.0,0,0,7.8958,1,1,0,0,0,None,0,7.8958,0,1,0,19,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
31,1,1,40.0,0,0,27.7208,1,1,0,0,0,PC,1,27.7208,0,1,0,24,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
32,1,0,36.0,1,0,146.5208,2,0,1,0,1,PC,1,73.2604,0,1,0,46,3,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
33,3,0,22.0,0,0,7.75,1,1,0,0,0,None,0,7.75,0,1,0,24,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
34,2,1,66.0,0,0,10.5,1,1,0,0,0,C,1,10.5,0,0,1,21,4,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
35,1,1,28.0,1,0,82.1708,2,0,1,0,0,PC,1,41.0854,0,1,0,23,2,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
36,1,1,42.0,1,0,52.0,2,0,1,0,0,None,0,26.0,0,1,0,30,3,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
37,3,1,25.0,0,0,7.2292,1,1,0,0,0,None,0,7.2292,0,1,0,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
38,3,1,21.0,0,0,8.05,1,1,0,0,0,A,1,8.05,0,1,0,24,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
39,3,0,18.0,2,0,18.0,3,0,1,0,0,None,0,6.0,0,1,0,34,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
40,3,0,14.0,1,0,11.2417,2,0,1,0,0,None,0,5.62085,1,0,0,27,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
41,3,0,40.0,1,0,9.475,2,0,1,0,0,None,0,4.7375,0,1,0,46,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
42,2,0,27.0,1,0,21.0,2,0,1,0,0,None,0,10.5,0,1,0,56,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
43,3,1,25.0,0,0,7.8958,1,1,0,0,0,None,0,7.8958,0,1,0,19,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
44,2,0,3.0,1,2,41.5792,4,0,1,0,0,SC,1,10.3948,1,0,0,40,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
45,3,0,19.0,0,0,7.8792,1,1,0,0,0,None,0,7.8792,0,1,0,29,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
46,3,1,25.0,0,0,8.05,1,1,0,0,0,S,1,8.05,0,1,0,24,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
47,3,1,25.0,1,0,15.5,2,0,1,0,0,None,0,7.75,0,1,0,17,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
48,3,0,22.0,0,0,7.75,1,1,0,0,0,None,0,7.75,0,1,0,25,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
49,3,1,25.0,2,0,21.6792,3,0,1,0,0,None,0,7.226400000000001,0,1,0,19,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
50,3,0,18.0,1,0,17.8,2,0,1,0,0,None,0,8.9,0,1,0,45,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
51,3,1,7.0,4,1,39.6875,6,0,0,1,0,None,0,6.614583333333333,1,0,0,26,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52,3,1,21.0,0,0,7.8,1,1,0,0,0,A,1,7.8,0,1,0,28,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
53,1,0,49.0,1,0,76.7292,2,0,1,0,1,PC,1,38.3646,0,1,0,40,3,4,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
54,2,0,29.0,1,0,26.0,2,0,1,0,0,None,0,13.0,0,1,0,50,2,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
55,1,1,65.0,0,1,61.9792,2,0,1,0,1,None,0,30.9896,0,0,1,30,4,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
56,1,1,42.0,0,0,35.5,1,1,0,0,1,None,0,35.5,0,1,0,17,3,3,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
57,2,0,21.0,0,0,10.5,1,1,0,0,0,C,1,10.5,0,1,0,17,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
58,3,1,28.5,0,0,7.2292,1,1,0,0,0,None,0,7.2292,0,1,0,19,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
59,2,0,5.0,1,2,27.75,4,0,1,0,0,C,1,6.9375,1,0,0,28,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
60,3,1,11.0,5,2,46.9,8,0,0,1,0,CA,1,5.8625,1,0,0,34,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
61,3,1,22.0,0,0,7.2292,1,1,0,0,0,None,0,7.2292,0,1,0,21,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
62,1,0,38.0,0,0,80.0,1,1,0,0,1,None,0,80.0,0,1,0,19,3,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
63,1,1,45.0,1,0,83.475,2,0,1,0,1,None,0,41.7375,0,1,0,27,3,4,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
64,3,1,4.0,3,2,27.9,6,0,0,1,0,None,0,4.6499999999999995,1,0,0,21,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
65,1,1,42.0,0,0,27.7208,1,1,0,0,0,PC,1,27.7208,0,1,0,21,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
66,3,1,25.0,1,1,15.2458,3,0,1,0,0,None,0,5.081933333333333,0,1,0,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
67,2,0,29.0,0,0,10.5,1,1,0,0,1,C,1,10.5,0,1,0,28,2,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
68,3,1,19.0,0,0,8.1583,1,1,0,0,0,S,1,8.1583,0,1,0,24,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69,3,0,17.0,4,2,7.925,7,0,0,1,0,None,0,1.1321428571428571,0,1,0,31,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
70,3,1,26.0,2,0,8.6625,3,0,1,0,0,None,0,2.8874999999999997,0,1,0,17,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
71,2,1,32.0,0,0,10.5,1,1,0,0,0,C,1,10.5,0,1,0,26,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
72,3,0,16.0,5,2,46.9,8,0,0,1,0,CA,1,5.8625,0,1,0,26,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
73,2,1,21.0,0,0,73.5,1,1,0,0,0,S,1,73.5,0,1,0,20,2,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
74,3,1,26.0,1,0,14.4542,2,0,1,0,0,None,0,7.2271,0,1,0,27,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
75,3,1,32.0,0,0,56.4958,1,1,0,0,0,None,0,56.4958,0,1,0,13,2,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
76,3,1,25.0,0,0,7.65,1,1,0,0,1,None,0,7.65,0,1,0,23,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
77,3,1,25.0,0,0,7.8958,1,1,0,0,0,None,0,7.8958,0,1,0,17,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
78,3,1,25.0,0,0,8.05,1,1,0,0,0,None,0,8.05,0,1,0,24,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
79,2,1,0.83,0,2,29.0,3,0,1,0,0,None,0,9.666666666666666,1,0,0,29,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
80,3,0,30.0,0,0,12.475,1,1,0,0,0,None,0,12.475,0,1,0,24,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
81,3,1,22.0,0,0,9.0,1,1,0,0,0,None,0,9.0,0,1,0,20,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
82,3,1,29.0,0,0,9.5,1,1,0,0,0,None,0,9.5,0,1,0,27,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
83,3,0,22.0,0,0,7.7875,1,1,0,0,0,None,0,7.7875,0,1,0,30,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
84,1,1,28.0,0,0,47.1,1,1,0,0,0,None,0,47.1,0,1,0,23,2,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
85,2,0,17.0,0,0,10.5,1,1,0,0,0,SO,1,10.5,0,1,0,19,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
86,3,0,33.0,3,0,15.85,4,0,1,0,0,None,0,3.9625,0,1,0,55,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
87,3,1,16.0,1,3,34.375,5,0,0,1,0,W,1,6.875,0,1,0,22,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
88,3,1,25.0,0,0,8.05,1,1,0,0,0,SOTON,1,8.05,0,1,0,29,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
89,1,0,23.0,3,2,263.0,6,0,0,1,1,None,0,43.833333333333336,0,1,0,26,2,4,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
90,3,1,24.0,0,0,8.05,1,1,0,0,0,None,0,8.05,0,1,0,22,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
91,3,1,29.0,0,0,8.05,1,1,0,0,0,None,0,8.05,0,1,0,20,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
92,3,1,20.0,0,0,7.8542,1,1,0,0,0,None,0,7.8542,0,1,0,26,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
93,1,1,46.0,1,0,61.175,2,0,1,0,1,W,1,30.5875,0,1,0,27,3,4,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
94,3,1,26.0,1,2,20.575,4,0,1,0,0,C,1,5.14375,0,1,0,23,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
95,3,1,59.0,0,0,7.25,1,1,0,0,0,None,0,7.25,0,1,0,17,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
96,3,1,25.0,0,0,8.05,1,1,0,0,0,None,0,8.05,0,1,0,27,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
97,1,1,71.0,0,0,34.6542,1,1,0,0,1,PC,1,34.6542,0,0,1,25,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,1,1,23.0,0,1,63.3583,2,0,1,0,1,PC,1,31.67915,0,1,0,31,2,4,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
99,2,0,34.0,0,1,23.0,2,0,1,0,0,None,0,11.5,0,1,0,36,2,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
100,2,1,34.0,1,0,26.0,2,0,1,0,0,None,0,13.0,0,1,0,17,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
101,3,0,28.0,0,0,7.8958,1,1,0,0,0,None,0,7.8958,0,1,0,23,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
102,3,1,25.0,0,0,7.8958,1,1,0,0,0,None,0,7.8958,0,1,0,32,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
103,1,1,21.0,0,1,77.2875,2,0,1,0,1,None,0,38.64375,0,1,0,25,2,4,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
104,3,1,33.0,0,0,8.6542,1,1,0,0,0,None,0,8.6542,0,1,0,26,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
105,3,1,37.0,2,0,7.925,3,0,1,0,0,None,0,2.6416666666666666,0,1,0,30,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
106,3,1,28.0,0,0,7.8958,1,1,0,0,0,None,0,7.8958,0,1,0,21,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
107,3,0,21.0,0,0,7.65,1,1,0,0,0,None,0,7.65,0,1,0,32,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
108,3,1,25.0,0,0,7.775,1,1,0,0,0,None,0,7.775,0,1,0,22,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
109,3,1,38.0,0,0,7.8958,1,1,0,0,0,None,0,7.8958,0,1,0,15,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
110,3,0,22.0,1,0,24.15,2,0,1,0,0,None,0,12.075,0,1,0,19,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
111,1,1,47.0,0,0,52.0,1,1,0,0,1,None,0,52.0,0,1,0,30,3,4,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
112,3,0,14.5,1,0,14.4542,2,0,1,0,0,None,0,7.2271,1,0,0,20,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
113,3,1,22.0,0,0,8.05,1,1,0,0,0,None,0,8.05,0,1,0,22,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
114,3,0,20.0,1,0,9.825,2,0,1,0,0,None,0,4.9125,0,1,0,23,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
115,3,0,17.0,0,0,14.4583,1,1,0,0,0,None,0,14.4583,0,1,0,21,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
116,3,1,21.0,0,0,7.925,1,1,0,0,0,STON,1,7.925,0,1,0,21,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
117,3,1,70.5,0,0,7.75,1,1,0,0,0,None,0,7.75,0,0,1,20,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
118,2,1,29.0,1,0,21.0,2,0,1,0,0,None,0,10.5,0,1,0,31,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
119,1,1,24.0,0,1,247.5208,2,0,1,0,1,PC,1,123.7604,0,1,0,24,2,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
120,3,0,2.0,4,2,31.275,7,0,0,1,0,None,0,4.4678571428571425,1,0,0,33,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
121,2,1,21.0,2,0,73.5,3,0,1,0,0,S,1,24.5,0,1,0,27,2,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
122,3,1,25.0,0,0,8.05,1,1,0,0,0,A,1,8.05,0,1,0,26,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
123,2,1,32.5,1,0,30.0708,2,0,1,0,0,None,0,15.0354,0,1,0,20,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
124,2,0,32.5,0,0,13.0,1,1,0,0,1,None,0,13.0,0,1,0,19,2,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
125,1,1,54.0,0,1,77.2875,2,0,1,0,1,None,0,38.64375,0,1,0,27,3,4,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
126,3,1,12.0,1,0,11.2417,2,0,1,0,0,None,0,5.62085,1,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
127,3,1,25.0,0,0,7.75,1,1,0,0,0,None,0,7.75,0,1,0,19,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
128,3,1,24.0,0,0,7.1417,1,1,0,0,0,C,1,7.1417,0,1,0,25,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
129,3,0,22.0,1,1,22.3583,3,0,1,0,1,None,0,7.452766666666666,0,1,0,17,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
130,3,1,45.0,0,0,6.975,1,1,0,0,0,None,0,6.975,0,1,0,18,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
131,3,1,33.0,0,0,7.8958,1,1,0,0,0,None,0,7.8958,0,1,0,20,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
132,3,1,20.0,0,0,7.05,1,1,0,0,0,SOTON,1,7.05,0,1,0,30,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
133,3,0,47.0,1,0,14.5,2,0,1,0,0,A,1,7.25,0,1,0,46,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
134,2,0,29.0,1,0,26.0,2,0,1,0,0,None,0,13.0,0,1,0,45,2,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
135,2,1,25.0,0,0,13.0,1,1,0,0,0,C,1,13.0,0,1,0,30,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
136,2,1,23.0,0,0,15.0458,1,1,0,0,0,SC,1,15.0458,0,1,0,18,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
137,1,0,19.0,0,2,26.2833,3,0,1,0,1,None,0,8.7611,0,1,0,28,2,3,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
138,1,1,37.0,1,0,53.1,2,0,1,0,1,None,0,26.55,0,1,0,27,3,4,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
139,3,1,16.0,0,0,9.2167,1,1,0,0,0,None,0,9.2167,0,1,0,19,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
140,1,1,24.0,0,0,79.2,1,1,0,0,1,PC,1,79.2,0,1,0,18,2,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
141,3,0,22.0,0,2,15.2458,3,0,1,0,0,None,0,5.081933333333333,0,1,0,29,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
142,3,0,22.0,0,0,7.75,1,1,0,0,0,None,0,7.75,0,1,0,24,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
143,3,0,24.0,1,0,15.85,2,0,1,0,0,STON,1,7.925,0,1,0,52,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
144,3,1,19.0,0,0,6.75,1,1,0,0,0,None,0,6.75,0,1,0,19,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
145,2,1,18.0,0,0,11.5,1,1,0,0,0,None,0,11.5,0,1,0,26,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
146,2,1,19.0,1,1,36.75,3,0,1,0,0,C,1,12.25,0,1,0,28,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
147,3,1,27.0,0,0,7.7958,1,1,0,0,0,None,0,7.7958,0,1,0,44,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
148,3,0,9.0,2,2,34.375,5,0,0,1,0,W,1,6.875,1,0,0,32,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
149,2,1,36.5,0,2,26.0,3,0,1,0,1,None,0,8.666666666666666,0,1,0,40,3,3,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
150,2,1,42.0,0,0,13.0,1,1,0,0,0,None,0,13.0,0,1,0,33,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
151,2,1,51.0,0,0,12.525,1,1,0,0,0,S,1,12.525,0,1,0,26,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
152,1,0,22.0,1,0,66.6,2,0,1,0,1,None,0,33.3,0,1,0,33,2,4,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
153,3,1,55.5,0,0,8.05,1,1,0,0,0,A,1,8.05,0,1,0,16,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
154,3,1,40.5,0,2,14.5,3,0,1,0,0,A,1,4.833333333333333,0,1,0,31,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
155,3,1,25.0,0,0,7.3125,1,1,0,0,0,Fa,1,7.3125,0,1,0,21,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
156,1,1,51.0,0,1,61.3792,2,0,1,0,0,PC,1,30.6896,0,1,0,27,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
157,3,0,16.0,0,0,7.7333,1,1,0,0,0,None,0,7.7333,0,1,0,32,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
158,3,1,30.0,0,0,8.05,1,1,0,0,0,SOTON,1,8.05,0,1,0,15,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
159,3,1,25.0,0,0,8.6625,1,1,0,0,0,None,0,8.6625,0,1,0,19,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
160,3,1,25.0,8,2,69.55,11,0,0,1,0,CA,1,6.322727272727272,0,1,0,26,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
161,3,1,44.0,0,1,16.1,2,0,1,0,0,None,0,8.05,0,1,0,24,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
162,2,0,40.0,0,0,15.75,1,1,0,0,0,C,1,15.75,0,1,0,50,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
163,3,1,26.0,0,0,7.775,1,1,0,0,0,None,0,7.775,0,1,0,26,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
164,3,1,17.0,0,0,8.6625,1,1,0,0,0,None,0,8.6625,0,1,0,15,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
165,3,1,1.0,4,1,39.6875,6,0,0,1,0,None,0,6.614583333333333,1,0,0,28,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
166,3,1,9.0,0,2,20.525,3,0,1,0,0,None,0,6.841666666666666,1,0,0,47,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
